,Título da Notícia,Tema,URL
0,"
Neto de Chico Buarque fez versão de Águas de Março criticando políticos #boato
",entretenimento,www.boatos.org/entretenimento/neto-chico-buarque-versao-aguas-marco.html
1,"
Correios, em 2018, contrata em site “Correios Vagas 2018” no WhatsApp #boato
",tecnologia,www.boatos.org/tecnologia/correios-2018-contrata-site-whatsapp.html
2,"
Caseiro do sítio de Atibaia diz que Lula tem cofre de concreto no local #boato
",politica,www.boatos.org/politica/caseiro-sitio-atibaia-cofre.html
3,"
Vídeo mostra rato tomando banho com sabonete em pia #boato
",mundo,www.boatos.org/mundo/video-rato-tomando-banho.html
4,"
Lutadora de vale tudo morre após enfrentar adversária trans na Malásia #boato
",esporte,www.boatos.org/esporte/lutadora-morre-adversaria-trans.html
5,"
7 boatos sobre a febre amarela que sempre enganam os menos informados
",saude,www.boatos.org/saude/7-boatos-febre-amarela.html
6,"
Mais de 100 bandidos e traficantes roubaram ônibus BRT no Rio #boato
",brasil,www.boatos.org/brasil/bandidos-traficantes-brt-rio.html
7,"
Unimed está dando planos de saúde grátis por um ano em site #boato
",tecnologia,www.boatos.org/tecnologia/unimed-planos-saude-gratis.html
8,"
Macacos transmitem febre amarela para humanos e a solução é os matar #boato
",saude,www.boatos.org/saude/matar-macacos-febre-amarela-humanos.html
9,"
Vacina contra febre amarela paralisa o fígado, diz médico de Sorocaba #boato
",saude,www.boatos.org/saude/vacina-febre-amarela-figado-sorocaba.html
10,"
Crivella vai fechar a Feira de São Cristóvão no Rio de Janeiro #boato
",politica,www.boatos.org/politica/crivella-fechar-sao-cristovao.html
11,"
Secretário-geral da ONU ameaça o Brasil com sanções por causa de Lula #boato
",mundo,www.boatos.org/mundo/secretario-geral-onu-ameaca-brasil.html
12,"
Mandado de prisão preventiva de Lula foi expedido por Sérgio Moro #boato
",politica,www.boatos.org/politica/mandado-prisao-lula-moro.html
13,"
Dra. Marise Valéria Santos (CRM 77.577-SP) detona Lula em carta aberta #boato
",politica,www.boatos.org/politica/marise-valeria-lula-carta.html
14,"
Cantor Leonardo comemora condenação de Lula cantando “A Casa Caiu” #boato
",entretenimento,www.boatos.org/entretenimento/cantor-leonardo-comemora-lula.html
15,"
Marieta Severo fez texto sobre Lula chamado “Os Erros de Luís” #boato
",entretenimento,www.boatos.org/entretenimento/marieta-severo-texto-lula.html
16,"
Motoristas do Uber usam bala com sonífero para dopar passageiras #boato
",brasil,www.boatos.org/brasil/motoristas-uber-bala-sonifero.html
17,"
PF prende bruxo que sacrificava crianças em nome da Globo e políticos #boato
",brasil,www.boatos.org/brasil/bruxo-sacrificava-criancas-globo.html
18,"
Maior rede de cosméticos do Brasil está dando lápis delineador grátis #boato
",tecnologia,www.boatos.org/tecnologia/maior-rede-cosmeticos-lapis-delineador.html
19,"
Médica funcionária do Instituto Butantan fala do perigo da vacina da febre amarela #boato
",saude,www.boatos.org/saude/medica-butantan-vacina-febre.html
20,"
Especialistas contam dicas de como curar o câncer após conferência sobre a doença #boato
",saude,www.boatos.org/saude/especialistas-dicas-curar-cancer.html
21,"
Vírus da febre amarela sofreu uma mutação e vacina não protege mais #boato
",saude,www.boatos.org/saude/virus-febre-amarela-mutacao.html
22,"
Vídeo mostra chuva filmada do observatório de Belo Horizonte #boato
",brasil,www.boatos.org/brasil/video-chuva-observatorio-belo-horizonte.html
23,"
Soldado da Polícia do Exército é afastado após agredir traficante a pedido da OAB #boato
",brasil,www.boatos.org/brasil/soldado-policia-exercito-afastado-oab.html
24,"
Mulher solta pum em voo e avião é obrigado a fazer pouso de emergência #boato
",brasil,www.boatos.org/brasil/mulher-pum-aviao-pouso.html
25,"
Pirulito com energético da Blong provoca ataque cardíaco em crianças #boato
",saude,www.boatos.org/saude/pirulito-energetico-ataque-cardiaco.html
26,"
Claudia Rodrigues perde todo cabelo por causa de doença grave, mostra foto #boato
",entretenimento,www.boatos.org/entretenimento/claudia-rodrigues-doenca-grave.html
